name,handedness,height,weight,avg,HR,weight_bin,height_bin
Vida Blue,B,72,189,0.104,4,190,72
Mickey Lolich,B,73,170,0.11,0,170,73
Jack Billingham,R,76,195,0.111,0,200,76
Bob Veale,B,78,212,0.114,0,220,80
Steve Barber,L,72,195,0.115,5,200,72
Jerry Koosman,R,74,205,0.119,2,210,74
Burt Hooton,R,73,210,0.123,4,210,73
Ray Culp,R,72,200,0.123,1,200,72
Fred Norman,B,68,155,0.125,0,160,68
Al Downing,R,71,175,0.127,2,180,71
Joaquin Andujar,B,72,170,0.127,5,170,72
Denny Lemaster,R,73,182,0.13,4,190,73
Gaylord Perry,R,76,205,0.131,6,210,76
Randy Jones,R,72,178,0.132,0,180,72
Mario Soto,R,72,174,0.132,1,180,72
Denny McLain,R,73,185,0.133,1,190,73
Dave McNally,R,71,185,0.133,9,190,71
Joe Horlen,R,72,170,0.134,0,170,72
Larry Dierker,R,76,215,0.136,4,220,76
Jim Lonborg,R,77,200,0.136,3,200,80
Bob Knepper,L,75,195,0.137,6,200,75
Gary Nolan,R,74,197,0.138,1,200,74
Steve Rogers,R,74,175,0.138,0,180,74
Woodie Fryman,R,75,197,0.138,2,200,75
Don Sutton,R,73,185,0.144,0,190,73
Don Wilson,R,74,195,0.146,1,200,74
Ray Burris,R,77,200,0.151,1,200,80
Tom Seaver,R,73,195,0.154,12,200,73
Sam McDowell,L,77,190,0.154,2,190,80
Joe Niekro,R,73,185,0.156,1,190,73
Carl Morton,R,72,200,0.156,7,200,72
Tommy John,R,75,180,0.157,5,180,75
Ron Reed,R,78,215,0.158,0,220,80
Fritz Peterson,B,72,185,0.159,2,190,72
Mel Stottlemyre,R,73,178,0.16,7,180,73
John Vukovich,R,73,187,0.161,6,190,73
Jim Barr,R,75,205,0.162,1,210,75
Ken Holtzman,R,74,175,0.163,2,180,74
Luis Tiant,R,72,180,0.164,5,180,72
Fergie Jenkins,R,77,205,0.165,13,210,80
Juan Marichal,R,72,185,0.165,4,190,72
Jerry Reuss,L,77,200,0.167,1,200,80
J.R. Richard,R,80,222,0.168,10,230,80
Phil Niekro,R,73,180,0.169,7,180,73
Andy Messersmith,R,73,200,0.17,5,200,73
John Denny,R,75,185,0.17,0,190,75
Steve Blass,R,72,165,0.172,1,170,72
Sonny Siebert,R,75,190,0.173,12,190,75
Ray Oyler,R,71,165,0.175,15,170,71
Tommy Dean,R,72,165,0.18,4,170,72
Dick Ruthven,R,75,190,0.183,1,190,75
Bill Plummer,R,73,190,0.188,14,190,73
Ron Clark,R,70,175,0.189,5,180,70
Ray Sadecki,L,71,180,0.191,5,180,71
Tony Cloninger,R,72,210,0.192,11,210,72
Mike Ryan,R,74,205,0.193,28,210,74
Mike Krukow,R,77,205,0.193,5,210,80
Luis Pujols,R,74,175,0.193,6,180,74
Dave Roberts,L,75,195,0.194,7,200,75
Rick Wise,R,73,180,0.195,15,180,73
Rich Morales,R,71,170,0.195,6,170,71
Dan Briggs,L,72,180,0.195,12,180,72
Jim French,L,68,180,0.196,5,180,68
Bob Davis,R,72,180,0.197,6,180,72
Doug Camilli,R,71,195,0.199,18,200,71
Frank Fernandez,R,72,185,0.199,39,190,72
Orlando Mercado,R,72,180,0.199,7,180,72
Bob Uecker,R,73,190,0.2,14,190,73
Tom Egan,R,76,218,0.2,22,220,76
John Hale,L,74,195,0.201,14,200,74
Jim Maloney,L,74,190,0.201,7,190,74
Steve Carlton,L,76,210,0.201,13,210,76
Jim Rooker,R,72,195,0.201,7,200,72
Doug Frobel,L,76,196,0.201,20,200,76
Jim Mason,L,74,185,0.203,12,190,74
Jerry Zimmerman,R,74,185,0.204,3,190,74
Don Mason,L,71,160,0.205,3,160,71
Tom Nieto,R,73,193,0.205,5,200,73
George Smith,R,70,170,0.205,9,170,70
Buddy Biancalana,B,71,160,0.205,6,160,71
Steve Huntz,B,73,204,0.206,16,210,73
Dick Simpson,R,76,176,0.207,15,180,76
Tom Lawless,R,71,170,0.207,2,170,71
Jackie Hernandez,R,71,165,0.208,12,170,71
Bobby Klaus,R,70,170,0.208,6,170,70
Steve Jeltz,B,71,180,0.21,5,180,71
Luis Gomez,R,69,150,0.21,0,160,69
Jack Heidemann,R,72,175,0.211,9,180,72
Terry Humphrey,R,75,185,0.211,6,190,75
Jerry Narron,L,75,205,0.211,21,210,75
Rusty Torres,B,70,175,0.212,35,180,70
Angel Salazar,R,72,180,0.212,2,180,72
Ned Yost,R,73,190,0.212,16,190,73
Rudy Meoli,L,69,165,0.212,2,170,69
Dave Nicholson,R,74,215,0.212,61,220,74
Dave Hilton,R,71,191,0.213,6,200,71
Alan Knicely,R,72,190,0.213,12,190,72
Ken Rudolph,R,73,180,0.213,6,180,73
Curt Motton,R,68,164,0.213,25,170,68
Dick Tracewski,R,71,160,0.213,8,160,71
Dave Campbell,R,73,180,0.213,20,180,73
Bob Forsch,R,76,200,0.213,12,200,76
Mick Kelleher,R,69,176,0.213,0,180,69
Luis Alvarado,R,69,162,0.214,5,170,69
Dave Duncan,R,74,190,0.214,109,190,74
Jim Price,R,72,192,0.214,18,200,72
Jeff Torborg,R,72,195,0.214,8,200,72
Hal King,L,73,200,0.214,24,200,73
Frank Quilici,R,73,170,0.214,5,170,73
Larry Haney,R,74,195,0.215,12,200,74
Phil Roof,R,74,190,0.215,43,190,74
Jose Arcia,R,75,170,0.215,1,170,75
Mario Mendoza,R,71,170,0.215,4,170,71
Steve Renko,R,77,230,0.215,6,230,80
Tom Matchick,L,73,173,0.215,4,180,73
Skip Jutze,R,71,190,0.215,3,190,71
Bobby Wine,R,73,187,0.215,30,190,73
Hector Torres,R,72,175,0.216,18,180,72
Joe Lovitto,B,72,185,0.216,4,190,72
Steve Swisher,R,74,205,0.216,20,210,74
Pat Corrales,R,72,180,0.216,4,180,72
Billy Bryan,L,76,200,0.216,41,200,76
Howie Goss,R,76,204,0.216,11,210,76
Fred Stanley,R,70,165,0.216,10,170,70
John Stephenson,L,71,180,0.216,12,180,71
Dal Maxvill,R,71,157,0.217,6,160,71
Vic Harris,B,71,165,0.217,13,170,71
Darrel Chaney,B,74,188,0.217,14,190,74
Jim Anderson,R,72,170,0.218,13,170,72
Stan Papi,R,72,170,0.218,7,170,72
Tucker Ashford,R,73,195,0.218,6,200,73
Ted Ford,R,70,180,0.219,17,180,70
Craig Robinson,R,70,165,0.219,0,170,70
John Boccabella,R,73,195,0.219,26,200,73
Al Weis,B,72,160,0.219,7,160,72
Jerry Buchek,R,71,185,0.22,22,190,71
Tim Cullen,R,73,185,0.22,9,190,73
Ed Crosby,L,74,175,0.22,0,180,74
Danny Ainge,R,76,175,0.22,2,180,76
Jim Nettles,L,72,186,0.22,16,190,72
Pedro Garcia,R,70,175,0.22,37,180,70
Rick Auerbach,R,72,165,0.22,9,170,72
Todd Cruz,R,72,175,0.22,34,180,72
Mike Fischlin,R,73,165,0.22,3,170,73
Ellie Hendricks,L,73,175,0.22,62,180,73
Bob Coluccio,R,71,183,0.22,26,190,71
Duffy Dyer,R,72,187,0.221,30,190,72
Larry Cox,R,70,178,0.221,12,180,70
Ken Gerhart,R,72,190,0.221,24,190,72
Gary Allenson,R,71,185,0.221,19,190,71
Bob Jones,L,74,195,0.221,20,200,74
Rick Renick,R,72,188,0.221,20,190,72
Kevin Bell,R,72,195,0.222,13,200,72
Johnnie LeMaster,R,74,165,0.222,22,170,74
Danny Walton,R,72,195,0.223,28,200,72
Joe Lahoud,L,73,198,0.223,65,200,73
Marc Hill,R,75,205,0.223,34,210,75
Nelson Mathews,R,76,195,0.223,22,200,76
Tim Johnson,L,73,170,0.223,0,170,73
Sam Bowens,R,73,188,0.223,45,190,73
Andres Mora,R,72,180,0.223,27,180,72
Jimmie Schaffer,R,69,170,0.223,11,170,69
Jeff Newman,R,74,215,0.224,63,220,74
Ed Brinkman,R,72,170,0.224,60,170,72
Enzo Hernandez,R,68,155,0.224,2,160,68
Carmen Fanzone,R,72,200,0.224,20,200,72
Roger Repoz,L,75,190,0.224,82,190,75
Dick Nen,L,74,200,0.224,21,200,74
Bob Burda,L,71,174,0.224,13,180,71
Buck Martinez,R,70,190,0.225,58,190,70
Bobby Cox,R,71,180,0.225,9,180,71
Tom Satriano,L,73,185,0.225,21,190,73
Paul Casanova,R,76,180,0.225,50,180,76
Hector Cruz,R,71,170,0.225,39,170,71
Tim Laudner,R,75,212,0.225,77,220,75
Gorman Thomas,R,74,210,0.225,268,210,74
Rich McKinney,R,71,185,0.225,20,190,71
John Kennedy,R,72,185,0.225,32,190,72
Tommie Reynolds,R,74,190,0.226,12,190,74
Mike Richardt,R,72,170,0.226,4,170,72
Mike Sadek,R,69,165,0.226,5,170,69
Jim Gosger,L,71,185,0.226,30,190,71
Buddy Bradford,R,71,170,0.226,52,170,71
Nate Oliver,R,70,160,0.226,2,160,70
Catfish Hunter,R,72,190,0.226,6,190,72
Bob Barton,R,72,175,0.226,9,180,72
Pete Mackanin,R,74,190,0.226,30,190,74
Johnny Lewis,L,73,189,0.227,22,190,73
Sal Butera,R,72,190,0.227,8,190,72
Dick Billings,R,73,195,0.227,16,200,73
Chris Bando,B,72,195,0.227,27,200,72
Larry Lintz,B,69,150,0.227,0,160,69
Mike Fiore,L,72,175,0.227,13,180,72
Bill Voss,L,74,160,0.227,19,160,74
Jim Traber,L,72,194,0.227,27,200,72
Ken Suarez,R,69,175,0.227,5,180,69
Joe Nossek,R,72,178,0.228,3,180,72
Mark Belanger,R,73,170,0.228,20,170,73
Steve Yeager,R,72,190,0.228,102,190,72
Brian Giles,R,73,165,0.228,10,170,73
Hal Lanier,R,74,180,0.228,8,180,74
Russ Gibson,R,73,195,0.228,8,200,73
Tim Blackwell,B,71,170,0.228,6,170,71
Wayne Comer,R,70,175,0.229,16,180,70
Dave McKay,B,73,195,0.229,21,200,73
Bob Didier,B,72,190,0.229,0,190,72
Mike Champion,R,72,185,0.229,2,190,72
Dick Phillips,L,72,180,0.229,12,180,72
Duane Walker,L,72,185,0.229,24,190,72
Vic Correll,R,70,185,0.229,29,190,70
Glenn Borgmann,R,76,210,0.229,16,210,76
Tommie Aaron,R,75,190,0.229,13,190,75
Dave Hostetler,R,76,215,0.229,37,220,76
Doug Clemens,L,72,180,0.229,12,180,72
Don Leppert,R,74,220,0.229,15,220,74
Mike Brumley,L,70,195,0.229,5,200,70
Gene Michael,B,74,183,0.229,15,190,74
Syd O'Brien,R,73,185,0.23,24,190,73
Billy Smith,B,74,185,0.23,17,190,74
Steve Whitaker,L,72,180,0.23,24,180,72
Lenn Sakata,R,69,160,0.23,25,160,69
Cap Peterson,R,74,195,0.23,19,200,74
Sandy Valdespino,L,68,170,0.23,7,170,68
Barry Foote,R,75,205,0.23,57,210,75
Gary Alexander,R,74,195,0.23,55,200,74
John Bateman,R,75,210,0.23,81,210,75
Winston Llenas,R,70,165,0.23,3,170,70
Brad Wellman,R,72,170,0.231,6,170,72
Ted Kubiak,B,72,175,0.231,13,180,72
Roger Metzger,B,72,165,0.231,5,170,72
Ken Walters,R,73,180,0.231,11,180,73
Jim Beauchamp,R,74,190,0.231,14,190,74
Elio Chacon,R,69,160,0.232,4,160,69
Vern Fuller,R,73,170,0.232,14,170,73
Larry Stahl,L,72,175,0.232,36,180,72
Bob Tillman,R,76,205,0.232,79,210,76
Ron Gardenhire,R,72,175,0.232,4,180,72
Buck Rodgers,B,74,190,0.232,31,190,74
Frank Duffy,R,73,180,0.232,26,180,73
Steve Lombardozzi,R,72,175,0.233,20,180,72
Larry Brown,R,70,160,0.233,47,160,70
Jake Gibbs,L,72,180,0.233,25,180,72
Wayne Gross,L,74,210,0.233,121,210,74
Coco Laboy,R,70,165,0.233,28,170,70
Bob Kearney,R,72,190,0.233,27,190,72
Ron Woods,R,70,168,0.233,26,170,70
Paul Popovich,B,72,175,0.233,14,180,72
Joe Lis,R,72,175,0.233,32,180,72
Terry Harmon,R,74,180,0.233,4,180,74
Clay Dalrymple,L,72,190,0.233,55,190,72
Ted Savage,R,73,185,0.233,34,190,73
Ron Davis,R,72,175,0.233,10,180,72
Andres Thomas,R,73,170,0.234,42,170,73
Rick Sweet,B,73,200,0.234,6,200,73
Rob Picciolo,R,74,185,0.234,17,190,74
Jerry May,R,74,190,0.234,15,190,74
Bill Sudakis,B,73,190,0.234,59,190,73
Len Matuszek,L,74,190,0.234,30,190,74
Fred Kendall,R,73,185,0.234,31,190,73
Jerry Dybzinski,R,74,180,0.234,3,180,74
Jim Fairey,L,70,190,0.235,7,190,70
Andy Etchebarren,R,73,190,0.235,49,190,73
Tim Harkness,L,74,182,0.235,14,190,74
Cesar Gutierrez,R,69,155,0.235,0,160,69
Chris Cannizzaro,R,72,190,0.235,18,190,72
Julio Gonzalez,R,71,162,0.235,4,170,71
Bobby Mitchell,R,75,185,0.235,21,190,75
